Price,Maintenance Cost,Doors,Persons,Luggage Boot,Security,Acceptablity
72800,vhigh,4,4,med,med,unacc
92000,vhigh,4,4,med,high,unacc
54400,vhigh,4,4,big,low,unacc
73600,vhigh,4,4,big,med,unacc
92000,vhigh,4,4,big,high,unacc
54400,vhigh,4,more,small,low,unacc
73600,vhigh,4,more,small,med,unacc
92000,vhigh,4,more,small,high,unacc
55200,vhigh,4,more,med,low,unacc
73600,vhigh,4,more,med,med,unacc
92000,vhigh,4,more,med,high,unacc
55200,vhigh,4,more,big,low,unacc
73600,vhigh,4,more,big,med,unacc
92000,vhigh,4,more,big,high,unacc
55200,vhigh,5more,2,small,low,unacc
73600,vhigh,5more,2,small,med,unacc
92800,vhigh,5more,2,small,high,unacc
55200,vhigh,5more,2,med,low,unacc
73600,vhigh,5more,2,med,med,unacc
92800,vhigh,5more,2,med,high,unacc
55200,vhigh,5more,2,big,low,unacc
74400,vhigh,5more,2,big,med,unacc
92800,vhigh,5more,2,big,high,unacc
55200,vhigh,5more,4,small,low,unacc
74400,vhigh,5more,4,small,med,unacc
92800,vhigh,5more,4,small,high,unacc
56000,vhigh,5more,4,med,low,unacc
74400,vhigh,5more,4,med,med,unacc
92800,vhigh,5more,4,med,high,unacc
56000,vhigh,5more,4,big,low,unacc
74400,vhigh,5more,4,big,med,unacc
92800,vhigh,5more,4,big,high,unacc
56000,vhigh,5more,more,small,low,unacc
74400,vhigh,5more,more,small,med,unacc
93600,vhigh,5more,more,small,high,unacc
56000,vhigh,5more,more,med,low,unacc
74400,vhigh,5more,more,med,med,unacc
93600,vhigh,5more,more,med,high,unacc
56000,vhigh,5more,more,big,low,unacc
75200,vhigh,5more,more,big,med,unacc
93600,vhigh,5more,more,big,high,unacc
56000,high,2,2,small,low,unacc
75200,high,2,2,small,med,unacc
93600,high,2,2,small,high,unacc
56000,high,2,2,med,low,unacc
75200,high,2,2,med,med,unacc
93600,high,2,2,med,high,unacc
56800,high,2,2,big,low,unacc
75200,high,2,2,big,med,unacc
93600,high,2,2,big,high,unacc
56800,high,2,4,small,low,unacc
75200,high,2,4,small,med,unacc
93600,high,2,4,small,high,unacc
56800,high,2,4,med,low,unacc
75200,high,2,4,med,med,unacc
94400,high,2,4,med,high,unacc
56800,high,2,4,big,low,unacc
75200,high,2,4,big,med,unacc
94400,high,2,4,big,high,unacc
56800,high,2,more,small,low,unacc
76000,high,2,more,small,med,unacc
94400,high,2,more,small,high,unacc
56800,high,2,more,med,low,unacc
76000,high,2,more,med,med,unacc
94400,high,2,more,med,high,unacc
57600,high,2,more,big,low,unacc
76000,high,2,more,big,med,unacc
94400,high,2,more,big,high,unacc
57600,high,3,2,small,low,unacc
76000,high,3,2,small,med,unacc
94400,high,3,2,small,high,unacc
57600,high,3,2,med,low,unacc
76000,high,3,2,med,med,unacc
95200,high,3,2,med,high,unacc
57600,high,3,2,big,low,unacc
76000,high,3,2,big,med,unacc
95200,high,3,2,big,high,unacc
57600,high,3,4,small,low,unacc
76800,high,3,4,small,med,unacc
95200,high,3,4,small,high,unacc
57600,high,3,4,med,low,unacc
76800,high,3,4,med,med,unacc
95200,high,3,4,med,high,unacc
58400,high,3,4,big,low,unacc
76800,high,3,4,big,med,unacc
95200,high,3,4,big,high,unacc
58400,high,3,more,small,low,unacc
76800,high,3,more,small,med,unacc
95200,high,3,more,small,high,unacc
58400,high,3,more,med,low,unacc
76800,high,3,more,med,med,unacc
96000,high,3,more,med,high,unacc
58400,high,3,more,big,low,unacc
76800,high,3,more,big,med,unacc
96000,high,3,more,big,high,unacc
58400,high,4,2,small,low,unacc
77600,high,4,2,small,med,unacc
96000,high,4,2,small,high,unacc
58400,high,4,2,med,low,unacc
77600,high,4,2,med,med,unacc
96000,high,4,2,med,high,unacc
59200,high,4,2,big,low,unacc
77600,high,4,2,big,med,unacc
96000,high,4,2,big,high,unacc
59200,high,4,4,small,low,unacc
77600,high,4,4,small,med,unacc
96000,high,4,4,small,high,unacc
59200,high,4,4,med,low,unacc
77600,high,4,4,med,med,unacc
96800,high,4,4,med,high,unacc
59200,high,4,4,big,low,unacc
77600,high,4,4,big,med,unacc
96800,high,4,4,big,high,unacc
59200,high,4,more,small,low,unacc
78400,high,4,more,small,med,unacc
96800,high,4,more,small,high,unacc
59200,high,4,more,med,low,unacc
78400,high,4,more,med,med,unacc
96800,high,4,more,med,high,unacc
60000,high,4,more,big,low,unacc
78400,high,4,more,big,med,unacc
96800,high,4,more,big,high,unacc
60000,high,5more,2,small,low,unacc
78400,high,5more,2,small,med,unacc
96800,high,5more,2,small,high,unacc
60000,high,5more,2,med,low,unacc
78400,high,5more,2,med,med,unacc
97600,high,5more,2,med,high,unacc
60000,high,5more,2,big,low,unacc
78400,high,5more,2,big,med,unacc
97600,high,5more,2,big,high,unacc
60000,high,5more,4,small,low,unacc
79200,high,5more,4,small,med,unacc
97600,high,5more,4,small,high,unacc
60000,high,5more,4,med,low,unacc
79200,high,5more,4,med,med,unacc
97600,high,5more,4,med,high,unacc
60800,high,5more,4,big,low,unacc
79200,high,5more,4,big,med,unacc
97600,high,5more,4,big,high,unacc
60800,high,5more,more,small,low,unacc
79200,high,5more,more,small,med,unacc
97600,high,5more,more,small,high,unacc
60800,high,5more,more,med,low,unacc
79200,high,5more,more,med,med,unacc
98400,high,5more,more,med,high,unacc
60800,high,5more,more,big,low,unacc
79200,high,5more,more,big,med,unacc
98400,high,5more,more,big,high,unacc
60800,med,2,2,small,low,unacc
80000,med,2,2,small,med,unacc
98400,med,2,2,small,high,unacc
60800,med,2,2,med,low,unacc
80000,med,2,2,med,med,unacc
98400,med,2,2,med,high,unacc
60800,med,2,2,big,low,unacc
80000,med,2,2,big,med,unacc
98400,med,2,2,big,high,unacc
61600,med,2,4,small,low,unacc
80000,med,2,4,small,med,unacc
98400,med,2,4,small,high,acc
61600,med,2,4,med,low,unacc
80000,med,2,4,med,med,unacc
98400,med,2,4,med,high,acc
61600,med,2,4,big,low,unacc
80000,med,2,4,big,med,acc
99200,med,2,4,big,high,acc
61600,med,2,more,small,low,unacc
80000,med,2,more,small,med,unacc
99200,med,2,more,small,high,unacc
61600,med,2,more,med,low,unacc
80800,med,2,more,med,med,unacc
99200,med,2,more,med,high,acc
61600,med,2,more,big,low,unacc
80800,med,2,more,big,med,acc
99200,med,2,more,big,high,acc
62400,med,3,2,small,low,unacc
80800,med,3,2,small,med,unacc
99200,med,3,2,small,high,unacc
62400,med,3,2,med,low,unacc
80800,med,3,2,med,med,unacc
99200,med,3,2,med,high,unacc
62400,med,3,2,big,low,unacc
80800,med,3,2,big,med,unacc
100000,med,3,2,big,high,unacc
62400,med,3,4,small,low,unacc
80800,med,3,4,small,med,unacc
100000,med,3,4,small,high,acc
62400,med,3,4,med,low,unacc
81600,med,3,4,med,med,unacc
100000,med,3,4,med,high,acc
62400,med,3,4,big,low,unacc
81600,med,3,4,big,med,acc
100000,med,3,4,big,high,acc
63200,med,3,more,small,low,unacc
81600,med,3,more,small,med,unacc
100000,med,3,more,small,high,acc
63200,med,3,more,med,low,unacc
81600,med,3,more,med,med,acc
100000,med,3,more,med,high,acc
63200,med,3,more,big,low,unacc
81600,med,3,more,big,med,acc
100800,med,3,more,big,high,acc
63200,med,4,2,small,low,unacc
81600,med,4,2,small,med,unacc
100800,med,4,2,small,high,unacc
63200,med,4,2,med,low,unacc
82400,med,4,2,med,med,unacc
100800,med,4,2,med,high,unacc
63200,med,4,2,big,low,unacc
82400,med,4,2,big,med,unacc
100800,med,4,2,big,high,unacc
64000,med,4,4,small,low,unacc
82400,med,4,4,small,med,unacc
100800,med,4,4,small,high,acc
64000,med,4,4,med,low,unacc
82400,med,4,4,med,med,acc
100800,med,4,4,med,high,acc
64000,med,4,4,big,low,unacc
82400,med,4,4,big,med,acc
101600,med,4,4,big,high,acc
64000,med,4,more,small,low,unacc
82400,med,4,more,small,med,unacc
101600,med,4,more,small,high,acc
64000,med,4,more,med,low,unacc
83200,med,4,more,med,med,acc
101600,med,4,more,med,high,acc
64000,med,4,more,big,low,unacc
83200,med,4,more,big,med,acc
101600,med,4,more,big,high,acc
64800,med,5more,2,small,low,unacc
83200,med,5more,2,small,med,unacc
101600,med,5more,2,small,high,unacc
64800,med,5more,2,med,low,unacc
83200,med,5more,2,med,med,unacc
101600,med,5more,2,med,high,unacc
64800,med,5more,2,big,low,unacc
83200,med,5more,2,big,med,unacc
102400,med,5more,2,big,high,unacc
64800,med,5more,4,small,low,unacc
83200,med,5more,4,small,med,unacc
102400,med,5more,4,small,high,acc
64800,med,5more,4,med,low,unacc
84000,med,5more,4,med,med,acc
102400,med,5more,4,med,high,acc
64800,med,5more,4,big,low,unacc
84000,med,5more,4,big,med,acc
102400,med,5more,4,big,high,acc
65600,med,5more,more,small,low,unacc
84000,med,5more,more,small,med,unacc
102400,med,5more,more,small,high,acc
65600,med,5more,more,med,low,unacc
84000,med,5more,more,med,med,acc
102400,med,5more,more,med,high,acc
65600,med,5more,more,big,low,unacc
84000,med,5more,more,big,med,acc
103200,med,5more,more,big,high,acc
65600,low,2,2,small,low,unacc
84000,low,2,2,small,med,unacc
103200,low,2,2,small,high,unacc
65600,low,2,2,med,low,unacc
84000,low,2,2,med,med,unacc
103200,low,2,2,med,high,unacc
65600,low,2,2,big,low,unacc
84800,low,2,2,big,med,unacc
103200,low,2,2,big,high,unacc
65600,low,2,4,small,low,unacc
84800,low,2,4,small,med,unacc
103200,low,2,4,small,high,acc
66400,low,2,4,med,low,unacc
84800,low,2,4,med,med,unacc
103200,low,2,4,med,high,acc
66400,low,2,4,big,low,unacc
84800,low,2,4,big,med,acc
103200,low,2,4,big,high,acc
66400,low,2,more,small,low,unacc
84800,low,2,more,small,med,unacc
104000,low,2,more,small,high,unacc
66400,low,2,more,med,low,unacc
84800,low,2,more,med,med,unacc
104000,low,2,more,med,high,acc
66400,low,2,more,big,low,unacc
85600,low,2,more,big,med,acc
104000,low,2,more,big,high,acc
66400,low,3,2,small,low,unacc
85600,low,3,2,small,med,unacc
104000,low,3,2,small,high,unacc
67200,low,3,2,med,low,unacc
85600,low,3,2,med,med,unacc
104000,low,3,2,med,high,unacc
67200,low,3,2,big,low,unacc
85600,low,3,2,big,med,unacc
104000,low,3,2,big,high,unacc
67200,low,3,4,small,low,unacc
85600,low,3,4,small,med,unacc
104800,low,3,4,small,high,acc
67200,low,3,4,med,low,unacc
85600,low,3,4,med,med,unacc
104800,low,3,4,med,high,acc
67200,low,3,4,big,low,unacc
86400,low,3,4,big,med,acc
104800,low,3,4,big,high,acc
67200,low,3,more,small,low,unacc
86400,low,3,more,small,med,unacc
104800,low,3,more,small,high,acc
68000,low,3,more,med,low,unacc
86400,low,3,more,med,med,acc
104800,low,3,more,med,high,acc
68000,low,3,more,big,low,unacc
86400,low,3,more,big,med,acc
104800,low,3,more,big,high,acc
68000,low,4,2,small,low,unacc
86400,low,4,2,small,med,unacc
105600,low,4,2,small,high,unacc
68000,low,4,2,med,low,unacc
86400,low,4,2,med,med,unacc
105600,low,4,2,med,high,unacc
68000,low,4,2,big,low,unacc
87200,low,4,2,big,med,unacc
105600,low,4,2,big,high,unacc
68000,low,4,4,small,low,unacc
87200,low,4,4,small,med,unacc
105600,low,4,4,small,high,acc
68800,low,4,4,med,low,unacc
87200,low,4,4,med,med,acc
105600,low,4,4,med,high,acc
68800,low,4,4,big,low,unacc
87200,low,4,4,big,med,acc
105600,low,4,4,big,high,acc
68800,low,4,more,small,low,unacc
87200,low,4,more,small,med,unacc
106400,low,4,more,small,high,acc
68800,low,4,more,med,low,unacc
87200,low,4,more,med,med,acc
106400,low,4,more,med,high,acc
68800,low,4,more,big,low,unacc
88000,low,4,more,big,med,acc
106400,low,4,more,big,high,acc
68800,low,5more,2,small,low,unacc
88000,low,5more,2,small,med,unacc
106400,low,5more,2,small,high,unacc
69600,low,5more,2,med,low,unacc
88000,low,5more,2,med,med,unacc
106400,low,5more,2,med,high,unacc
69600,low,5more,2,big,low,unacc
88000,low,5more,2,big,med,unacc
106400,low,5more,2,big,high,unacc
69600,low,5more,4,small,low,unacc
88000,low,5more,4,small,med,unacc
107200,low,5more,4,small,high,acc
69600,low,5more,4,med,low,unacc
88000,low,5more,4,med,med,acc
107200,low,5more,4,med,high,acc
69600,low,5more,4,big,low,unacc
88800,low,5more,4,big,med,acc
107200,low,5more,4,big,high,acc
69600,low,5more,more,small,low,unacc
88800,low,5more,more,small,med,unacc
107200,low,5more,more,small,high,acc
70400,low,5more,more,med,low,unacc
88800,low,5more,more,med,med,acc
107200,low,5more,more,med,high,acc
70400,low,5more,more,big,low,unacc
88800,low,5more,more,big,med,acc
107200,low,5more,more,big,high,acc
24000,vhigh,2,2,small,low,unacc
33200,vhigh,2,2,small,med,unacc
42400,vhigh,2,2,small,high,unacc
24000,vhigh,2,2,med,low,unacc
33200,vhigh,2,2,med,med,unacc
42400,vhigh,2,2,med,high,unacc
24000,vhigh,2,2,big,low,unacc
33200,vhigh,2,2,big,med,unacc
42400,vhigh,2,2,big,high,unacc
24000,vhigh,2,4,small,low,unacc
33200,vhigh,2,4,small,med,unacc
42800,vhigh,2,4,small,high,unacc
24000,vhigh,2,4,med,low,unacc
33200,vhigh,2,4,med,med,unacc
42800,vhigh,2,4,med,high,unacc
24000,vhigh,2,4,big,low,unacc
33600,vhigh,2,4,big,med,unacc
42800,vhigh,2,4,big,high,unacc
24000,vhigh,2,more,small,low,unacc
33600,vhigh,2,more,small,med,unacc
42800,vhigh,2,more,small,high,unacc
24400,vhigh,2,more,med,low,unacc
33600,vhigh,2,more,med,med,unacc
42800,vhigh,2,more,med,high,unacc
24400,vhigh,2,more,big,low,unacc
33600,vhigh,2,more,big,med,unacc
42800,vhigh,2,more,big,high,unacc
24400,vhigh,3,2,small,low,unacc
33600,vhigh,3,2,small,med,unacc
43200,vhigh,3,2,small,high,unacc
24400,vhigh,3,2,med,low,unacc
33600,vhigh,3,2,med,med,unacc
43200,vhigh,3,2,med,high,unacc
24400,vhigh,3,2,big,low,unacc
34000,vhigh,3,2,big,med,unacc
43200,vhigh,3,2,big,high,unacc
24400,vhigh,3,4,small,low,unacc
34000,vhigh,3,4,small,med,unacc
43200,vhigh,3,4,small,high,unacc
24800,vhigh,3,4,med,low,unacc
34000,vhigh,3,4,med,med,unacc
43200,vhigh,3,4,med,high,unacc
24800,vhigh,3,4,big,low,unacc
34000,vhigh,3,4,big,med,unacc
43200,vhigh,3,4,big,high,unacc
24800,vhigh,3,more,small,low,unacc
34000,vhigh,3,more,small,med,unacc
43600,vhigh,3,more,small,high,unacc
24800,vhigh,3,more,med,low,unacc
34000,vhigh,3,more,med,med,unacc
43600,vhigh,3,more,med,high,unacc
24800,vhigh,3,more,big,low,unacc
34400,vhigh,3,more,big,med,unacc
43600,vhigh,3,more,big,high,unacc
24800,vhigh,4,2,small,low,unacc
34400,vhigh,4,2,small,med,unacc
43600,vhigh,4,2,small,high,unacc
25200,vhigh,4,2,med,low,unacc
34400,vhigh,4,2,med,med,unacc
43600,vhigh,4,2,med,high,unacc
25200,vhigh,4,2,big,low,unacc
34400,vhigh,4,2,big,med,unacc
43600,vhigh,4,2,big,high,unacc
25200,vhigh,4,4,small,low,unacc
34400,vhigh,4,4,small,med,unacc
44000,vhigh,4,4,small,high,unacc
25200,vhigh,4,4,med,low,unacc
34400,vhigh,4,4,med,med,unacc
44000,vhigh,4,4,med,high,unacc
25200,vhigh,4,4,big,low,unacc
34800,vhigh,4,4,big,med,unacc
44000,vhigh,4,4,big,high,unacc
25200,vhigh,4,more,small,low,unacc
34800,vhigh,4,more,small,med,unacc
44000,vhigh,4,more,small,high,unacc
25600,vhigh,4,more,med,low,unacc
34800,vhigh,4,more,med,med,unacc
44000,vhigh,4,more,med,high,unacc
25600,vhigh,4,more,big,low,unacc
34800,vhigh,4,more,big,med,unacc
44000,vhigh,4,more,big,high,unacc
25600,vhigh,5more,2,small,low,unacc
34800,vhigh,5more,2,small,med,unacc
44400,vhigh,5more,2,small,high,unacc
25600,vhigh,5more,2,med,low,unacc
34800,vhigh,5more,2,med,med,unacc
44400,vhigh,5more,2,med,high,unacc
25600,vhigh,5more,2,big,low,unacc
35200,vhigh,5more,2,big,med,unacc
44400,vhigh,5more,2,big,high,unacc
25600,vhigh,5more,4,small,low,unacc
35200,vhigh,5more,4,small,med,unacc
44400,vhigh,5more,4,small,high,unacc
26000,vhigh,5more,4,med,low,unacc
35200,vhigh,5more,4,med,med,unacc
44400,vhigh,5more,4,med,high,unacc
26000,vhigh,5more,4,big,low,unacc
35200,vhigh,5more,4,big,med,unacc
44400,vhigh,5more,4,big,high,unacc
26000,vhigh,5more,more,small,low,unacc
35200,vhigh,5more,more,small,med,unacc
44800,vhigh,5more,more,small,high,unacc
26000,vhigh,5more,more,med,low,unacc
35200,vhigh,5more,more,med,med,unacc
44800,vhigh,5more,more,med,high,unacc
26000,vhigh,5more,more,big,low,unacc
35600,vhigh,5more,more,big,med,unacc
44800,vhigh,5more,more,big,high,unacc
26000,high,2,2,small,low,unacc
35600,high,2,2,small,med,unacc
44800,high,2,2,small,high,unacc
26000,high,2,2,med,low,unacc
35600,high,2,2,med,med,unacc
44800,high,2,2,med,high,unacc
26400,high,2,2,big,low,unacc
35600,high,2,2,big,med,unacc
44800,high,2,2,big,high,unacc
26400,high,2,4,small,low,unacc
35600,high,2,4,small,med,unacc
44800,high,2,4,small,high,acc
26400,high,2,4,med,low,unacc
35600,high,2,4,med,med,unacc
45200,high,2,4,med,high,acc
26400,high,2,4,big,low,unacc
35600,high,2,4,big,med,acc
45200,high,2,4,big,high,acc
26400,high,2,more,small,low,unacc
36000,high,2,more,small,med,unacc
45200,high,2,more,small,high,unacc
26400,high,2,more,med,low,unacc
36000,high,2,more,med,med,unacc
45200,high,2,more,med,high,acc
26800,high,2,more,big,low,unacc
36000,high,2,more,big,med,acc
45200,high,2,more,big,high,acc
26800,high,3,2,small,low,unacc
36000,high,3,2,small,med,unacc
45200,high,3,2,small,high,unacc
26800,high,3,2,med,low,unacc
36000,high,3,2,med,med,unacc
45600,high,3,2,med,high,unacc
26800,high,3,2,big,low,unacc
36000,high,3,2,big,med,unacc
45600,high,3,2,big,high,unacc
26800,high,3,4,small,low,unacc
36400,high,3,4,small,med,unacc
45600,high,3,4,small,high,acc
26800,high,3,4,med,low,unacc
36400,high,3,4,med,med,unacc
45600,high,3,4,med,high,acc
27200,high,3,4,big,low,unacc
36400,high,3,4,big,med,acc
45600,high,3,4,big,high,acc
27200,high,3,more,small,low,unacc
36400,high,3,more,small,med,unacc
45600,high,3,more,small,high,acc
27200,high,3,more,med,low,unacc
36400,high,3,more,med,med,acc
46000,high,3,more,med,high,acc
27200,high,3,more,big,low,unacc
36400,high,3,more,big,med,acc
46000,high,3,more,big,high,acc
27200,high,4,2,small,low,unacc
36800,high,4,2,small,med,unacc
46000,high,4,2,small,high,unacc
27200,high,4,2,med,low,unacc
36800,high,4,2,med,med,unacc
46000,high,4,2,med,high,unacc
27600,high,4,2,big,low,unacc
36800,high,4,2,big,med,unacc
46000,high,4,2,big,high,unacc
27600,high,4,4,small,low,unacc
36800,high,4,4,small,med,unacc
46000,high,4,4,small,high,acc
27600,high,4,4,med,low,unacc
36800,high,4,4,med,med,acc
46400,high,4,4,med,high,acc
27600,high,4,4,big,low,unacc
36800,high,4,4,big,med,acc
46400,high,4,4,big,high,acc
27600,high,4,more,small,low,unacc
37200,high,4,more,small,med,unacc
46400,high,4,more,small,high,acc
27600,high,4,more,med,low,unacc
37200,high,4,more,med,med,acc
46400,high,4,more,med,high,acc
28000,high,4,more,big,low,unacc
37200,high,4,more,big,med,acc
46400,high,4,more,big,high,acc
28000,high,5more,2,small,low,unacc
37200,high,5more,2,small,med,unacc
46400,high,5more,2,small,high,unacc
28000,high,5more,2,med,low,unacc
37200,high,5more,2,med,med,unacc
46800,high,5more,2,med,high,unacc
28000,high,5more,2,big,low,unacc
37200,high,5more,2,big,med,unacc
46800,high,5more,2,big,high,unacc
28000,high,5more,4,small,low,unacc
37600,high,5more,4,small,med,unacc
46800,high,5more,4,small,high,acc
28000,high,5more,4,med,low,unacc
37600,high,5more,4,med,med,acc
46800,high,5more,4,med,high,acc
28400,high,5more,4,big,low,unacc
37600,high,5more,4,big,med,acc
46800,high,5more,4,big,high,acc
28400,high,5more,more,small,low,unacc
37600,high,5more,more,small,med,unacc
46800,high,5more,more,small,high,acc
28400,high,5more,more,med,low,unacc
37600,high,5more,more,med,med,acc
47200,high,5more,more,med,high,acc
28400,high,5more,more,big,low,unacc
37600,high,5more,more,big,med,acc
47200,high,5more,more,big,high,acc
28400,med,2,2,small,low,unacc
38000,med,2,2,small,med,unacc
47200,med,2,2,small,high,unacc
28400,med,2,2,med,low,unacc
38000,med,2,2,med,med,unacc
47200,med,2,2,med,high,unacc
28400,med,2,2,big,low,unacc
38000,med,2,2,big,med,unacc
47200,med,2,2,big,high,unacc
28800,med,2,4,small,low,unacc
38000,med,2,4,small,med,unacc
47200,med,2,4,small,high,acc
28800,med,2,4,med,low,unacc
38000,med,2,4,med,med,unacc
47200,med,2,4,med,high,acc
28800,med,2,4,big,low,unacc
38000,med,2,4,big,med,acc
47600,med,2,4,big,high,acc
28800,med,2,more,small,low,unacc
38000,med,2,more,small,med,unacc
47600,med,2,more,small,high,unacc
28800,med,2,more,med,low,unacc
38400,med,2,more,med,med,unacc
47600,med,2,more,med,high,acc
28800,med,2,more,big,low,unacc
38400,med,2,more,big,med,acc
47600,med,2,more,big,high,acc
29200,med,3,2,small,low,unacc
38400,med,3,2,small,med,unacc
47600,med,3,2,small,high,unacc
29200,med,3,2,med,low,unacc
38400,med,3,2,med,med,unacc
47600,med,3,2,med,high,unacc
29200,med,3,2,big,low,unacc
38400,med,3,2,big,med,unacc
48000,med,3,2,big,high,unacc
29200,med,3,4,small,low,unacc
38400,med,3,4,small,med,unacc
48000,med,3,4,small,high,acc
29200,med,3,4,med,low,unacc
38800,med,3,4,med,med,unacc
48000,med,3,4,med,high,acc
29200,med,3,4,big,low,unacc
38800,med,3,4,big,med,acc
48000,med,3,4,big,high,acc
29600,med,3,more,small,low,unacc
38800,med,3,more,small,med,unacc
48000,med,3,more,small,high,acc
29600,med,3,more,med,low,unacc
38800,med,3,more,med,med,acc
48000,med,3,more,med,high,acc
29600,med,3,more,big,low,unacc
38800,med,3,more,big,med,acc
48400,med,3,more,big,high,acc
29600,med,4,2,small,low,unacc
38800,med,4,2,small,med,unacc
48400,med,4,2,small,high,unacc
29600,med,4,2,med,low,unacc
39200,med,4,2,med,med,unacc
48400,med,4,2,med,high,unacc
29600,med,4,2,big,low,unacc
39200,med,4,2,big,med,unacc
48400,med,4,2,big,high,unacc
30000,med,4,4,small,low,unacc
39200,med,4,4,small,med,unacc
48400,med,4,4,small,high,acc
30000,med,4,4,med,low,unacc
39200,med,4,4,med,med,acc
48400,med,4,4,med,high,acc
30000,med,4,4,big,low,unacc
39200,med,4,4,big,med,acc
48800,med,4,4,big,high,acc
30000,med,4,more,small,low,unacc
39200,med,4,more,small,med,unacc
48800,med,4,more,small,high,acc
30000,med,4,more,med,low,unacc
39600,med,4,more,med,med,acc
48800,med,4,more,med,high,acc
30000,med,4,more,big,low,unacc
39600,med,4,more,big,med,acc
48800,med,4,more,big,high,acc
30400,med,5more,2,small,low,unacc
39600,med,5more,2,small,med,unacc
48800,med,5more,2,small,high,unacc
30400,med,5more,2,med,low,unacc
39600,med,5more,2,med,med,unacc
48800,med,5more,2,med,high,unacc
30400,med,5more,2,big,low,unacc
39600,med,5more,2,big,med,unacc
49200,med,5more,2,big,high,unacc
30400,med,5more,4,small,low,unacc
39600,med,5more,4,small,med,unacc
49200,med,5more,4,small,high,acc
30400,med,5more,4,med,low,unacc
40000,med,5more,4,med,med,acc
49200,med,5more,4,med,high,acc
30400,med,5more,4,big,low,unacc
40000,med,5more,4,big,med,acc
49200,med,5more,4,big,high,acc
30800,med,5more,more,small,low,unacc
40000,med,5more,more,small,med,unacc
49200,med,5more,more,small,high,acc
30800,med,5more,more,med,low,unacc
40000,med,5more,more,med,med,acc
49200,med,5more,more,med,high,acc
30800,med,5more,more,big,low,unacc
40000,med,5more,more,big,med,acc
49600,med,5more,more,big,high,acc
30800,low,2,2,small,low,unacc
40000,low,2,2,small,med,unacc
49600,low,2,2,small,high,unacc
30800,low,2,2,med,low,unacc
40000,low,2,2,med,med,unacc
49600,low,2,2,med,high,unacc
30800,low,2,2,big,low,unacc
40400,low,2,2,big,med,unacc
49600,low,2,2,big,high,unacc
30800,low,2,4,small,low,unacc
40400,low,2,4,small,med,unacc
49600,low,2,4,small,high,acc
31200,low,2,4,med,low,unacc
40400,low,2,4,med,med,unacc
49600,low,2,4,med,high,acc
31200,low,2,4,big,low,unacc
40400,low,2,4,big,med,acc
49600,low,2,4,big,high,acc
31200,low,2,more,small,low,unacc
40400,low,2,more,small,med,unacc
50000,low,2,more,small,high,unacc
31200,low,2,more,med,low,unacc
